Id,Sex,PopNum,Population,GOL,NOL,BNL
186,F,2,ZALAVAR,172,169,95
187,F,2,ZALAVAR,167,165,93
188,F,2,ZALAVAR,168,166,92
189,F,2,ZALAVAR,179,178,100
190,F,2,ZALAVAR,178,178,98
191,F,2,ZALAVAR,176,173,99
192,F,2,ZALAVAR,168,166,92
193,F,2,ZALAVAR,167,167,93
194,F,2,ZALAVAR,173,171,97
195,F,2,ZALAVAR,181,180,93
196,F,2,ZALAVAR,191,190,102
197,F,2,ZALAVAR,176,175,95
198,F,2,ZALAVAR,178,176,93
199,F,2,ZALAVAR,166,164,97
200,F,2,ZALAVAR,182,181,99
201,F,2,ZALAVAR,165,164,92
202,F,2,ZALAVAR,186,184,100
203,F,2,ZALAVAR,172,169,94
204,F,2,ZALAVAR,185,183,98
205,F,2,ZALAVAR,178,177,98
206,F,2,ZALAVAR,179,176,102
207,F,2,ZALAVAR,172,170,101
208,F,2,ZALAVAR,174,171,93
209,F,2,ZALAVAR,187,185,109
210,M,3,BERG,176,174,99
211,M,3,BERG,173,171,90
212,M,3,BERG,176,172,97
213,M,3,BERG,185,182,100
214,M,3,BERG,170,166,92
215,M,3,BERG,180,175,100
216,M,3,BERG,186,185,105
217,M,3,BERG,182,180,94
218,M,3,BERG,196,194,104
219,M,3,BERG,174,170,95
220,M,3,BERG,174,172,103
221,M,3,BERG,193,189,98
222,M,3,BERG,178,174,99
223,M,3,BERG,184,182,97
224,M,3,BERG,195,192,106
225,M,3,BERG,181,178,101
226,M,3,BERG,185,182,101
227,M,3,BERG,198,197,105
228,M,3,BERG,179,179,99
229,M,3,BERG,178,177,105
230,M,3,BERG,171,168,98
231,M,3,BERG,178,174,97
232,M,3,BERG,174,171,90
233,M,3,BERG,181,178,98
234,M,3,BERG,179,174,102
235,M,3,BERG,174,171,102
236,M,3,BERG,180,176,93
237,M,3,BERG,174,172,102
238,M,3,BERG,179,175,98
239,M,3,BERG,194,191,101
240,M,3,BERG,177,173,102
241,M,3,BERG,181,178,98
242,M,3,BERG,188,183,107
243,M,3,BERG,176,172,92
244,M,3,BERG,180,175,95
245,M,3,BERG,180,178,98
246,M,3,BERG,171,170,92
247,M,3,BERG,184,181,110
248,M,3,BERG,193,190,104
249,M,3,BERG,187,185,100
250,M,3,BERG,191,188,96
251,M,3,BERG,167,164,97
252,M,3,BERG,180,177,91
253,M,3,BERG,172,169,91
254,M,3,BERG,183,179,94
255,M,3,BERG,172,169,100
256,M,3,BERG,179,176,103
257,M,3,BERG,182,179,97
258,M,3,BERG,174,172,100
259,M,3,BERG,175,171,97
260,M,3,BERG,183,180,97
261,M,3,BERG,168,164,94
262,M,3,BERG,188,183,102
263,M,3,BERG,189,184,96
264,M,3,BERG,174,172,96
265,M,3,BERG,177,175,101
266,F,3,BERG,171,170,98
267,F,3,BERG,178,174,96
268,F,3,BERG,165,164,87
269,F,3,BERG,169,164,95
270,F,3,BERG,176,174,98
271,F,3,BERG,174,173,84
272,F,3,BERG,175,172,97
273,F,3,BERG,179,178,95
274,F,3,BERG,173,170,92
275,F,3,BERG,166,166,89
276,F,3,BERG,177,176,94
277,F,3,BERG,166,165,91
278,F,3,BERG,161,159,95
279,F,3,BERG,155,153,88
280,F,3,BERG,170,166,92
281,F,3,BERG,167,166,93
282,F,3,BERG,180,180,95
283,F,3,BERG,166,163,92
284,F,3,BERG,176,171,98
285,F,3,BERG,177,174,89
286,F,3,BERG,176,173,92
287,F,3,BERG,164,161,93
288,F,3,BERG,174,172,90
289,F,3,BERG,165,164,97
290,F,3,BERG,180,180,96
291,F,3,BERG,175,174,97
292,F,3,BERG,163,161,91
293,F,3,BERG,175,173,89
